movie_title,movie_user_review_link,movie_user_review_rating,movie_user_review_txt
Gattaca,https://www.imdb.com//review/rw2908273/,9,"I watched ""Gattaca"" earlier when it came out, but I was probably too young and/or drunk to appreciate it at the time. So I got the blu-ray and watched it again.What a quality film this is. Nevermind that the budget wasn't big, everything is handled with care. Cinematography is top notch, the script is coherent and clever at the same time, the music is absolutely beautiful, actors do a fine job, the directing of Niccol keeps everything in check. I can't find significant flaws in this movie.This is not what people usually expect from SciFi movies today. This is not an action film in space. ""Gattaca"" is a science fiction movie as much as it is a drama with a little detective story hidden inside. Almost nothing is ""in your face"", since this movie doesn't make a huge deal out of every meaningful scene. It's not trying to force you to feel or think anything, so the emotional reaction I got was only after the movie had ended. Only then it hit me, and it hit me hard. And the music (I have to compliment the score once again) played inside my head for quite some time.The above is the main reason I appreciate this film a lot. Many will dislike it for the same reason. If you want something huge, something with immediate impact, something which is trying to impress you, there's a chance you won't love this movie. I too admit that I would've wanted the story to be more gripping and intense, but then again that certain subtlety is one of the strengths of this film. Nevertheless, I recommend ""Gattaca"" to everyone. When you're in a calm, ponderous or thoughtful state of mind, watch this.Gattaca asks you important questions without forcing an ambiguous, open ending. Niccol wrote and directed a quality movie and he will be remembered for it. Ethan Hawke, Uma Thurman, Jude Law, Xander Berkeley and Alan Arkin were convincing in their roles, and every actor did a fine job.""Gattaca"" is a thoughtful, humane story and a genuinely well-made film. It already survived the test of time this far, and it will continue to do so. Even if it seems a bit underwhelming, there's a lot of love in it."
The Terminator,https://www.imdb.com//review/rw6103462/,9,"This is a perfect film. Science fiction, action, compelling story, memorable story, pretty woman and humanity.
Amazing that the special effects stand up to this day and it has been 35 years or so.
I wish they would stop with all the sequels and franchise making."
Mad Max 2: The Road Warrior,https://www.imdb.com//review/rw1107394/,8,"After the enormous success of ""Mad Max"" in 1979, it was predictable that a sequel would follow. In fact, two sequels followed, and the first of these is ""Mad Max 2: The Road Warrior"".Released in the U.S. simply as ""The Road Warrior"", ""Mad Max 2"" begins with a narration re-introducing us to wandering ex-cop Max (Gibson) ... and then we're off. In post-apocalyptic Australia, Max wanders the nuclear waste lands in search of Earth's most precious resource: gasoline. When he discovers a band of people guarding a large deposit of fuel, he lends his services as a driver to help them escape from a vicious group of bandits intent on taking the gas for themselves.""Mad Max 2"" is one of the best sequels ever. It's everything the original was and more. Mel Gibson is great, and the cast performs very well. Brian May's skills as a composer have improved, and he gives a very fast-paced score. George Miller's directing skills have also improved, and he deals us out some intense car sequences that have yet to be rivaled.This film is special because, although it was very popular when released and is even more popular now, it is unique in that it is not afraid to be just that. If that confused you, let me put it this way: George Miller has created a film that, while trying to improve the flaws from past films, is not afraid to be original and un-Hollywood. And I must say, Mr. Miller pulls it off excellently.I love ""The Road Warrior"" as well as the rest of the ""Mad Max"" series. I would say that ""Mad Max 2"" is quite possibly the greatest film to come out of Australia. It is one of Mel Gibson's best and one of the best sci-fi films ever. ""Mad Max 2"" is essential."
Moon,https://www.imdb.com//review/rw2079904/,7,"Originally posted to titsandgore.com, April 2009:Moon is an auspicious debut from Duncan Jones (née Zowie Bowie), a talented new director who happens to be the son of David Bowie (let me officially be the first person to predict that every review of this film in the mainstream press will have the tagline ""SPACE ODDITY!""). Sam Rockwell gives a truly remarkable performance as Sam Bell, a lunar miner who is nearing the end of his 3-year contract at a single-man mining outpost. His only companion is the station computer, Gertie, a straight-up HAL homage that tantalizingly suggests how a culture informed by decades of watching 2001 might choose to design a companion robot.To say too much more about the plot would be to spoil its central conceit, and while I'm sure many reviewers will talk openly about it, I want to preserve the surprise if at all possible at least until the film gets its theatrical release this coming June.Suffice it to say that Jones admirably mixes together stock genre tropes, paying tribute to a number of classic science fiction features while retaining his own idiosyncratically dark vision. Familiar filmic concepts of the ""clean future"" and the ""dirty future"" are mixed together to create a unique atmosphere; the milieu is suitably claustrophobic, the cramped quarters of the mining station serving the film's conceptual purposes while masking the shoestring budget. In fact, it may be hard to spare a glance at the meticulously designed sets with your eyes glued to Rockwell for the duration of the picture. His performance is utterly mesmerizing, inhabiting the role so completely that it is impossible to imagine any other actor having the chutzpah to pull it off.Which is not to say that Moon is without its problems; the pacing is hardly consistent and Jones' reliance on Rockwell tends to undersell his direction. Parts of the film veer dangerously close to identical thematic elements in Steven Soderbergh's recent adaptation of Solaris, without being as emotionally potent. But what it lacks in originality is mostly compensated for by the sheer audacity of its central performance and the careful economy of its direction.Moon may be dressed in familiar clothing, but it is a singular experience, a clever, darkly funny and genuinely moving journey into the nature of individuality. Jones is already at work on a second science fiction feature, and it is welcome indeed to see such a promising new talent continue to develop his voice by working in genre film-making!"
Aliens,https://www.imdb.com//review/rw5428447/,10,Siqourney Weaver at the peak of her acting career. Its very rare to see a sequel surpass all expectations. The movie does a great job at making you feel the tension at critical moments. They also manage to advance the plot in a good direction that makes sense.possibly the best sequel ever made.
Upgrade,https://www.imdb.com//review/rw4209356/,10,"Went in thinking this was going to be a good action movie with some fun AI-inspired fight scenes, but it was so much more than that. All of the actors, almost all unknown, were phenomenal, and the writing and pacing was perfect. The dynamic between the AI and the main character was somehow both funny and terrifying as it slowly digressed. Man what an awesome movie. Will be recommending to everyone."
The Prestige,https://www.imdb.com//review/rw4637987/,10,"... but I guess that is really beside the point.Christian Bale and Hugh Jackman play two young British magicians - Alfred Borden and Robert Angier - trying to learn the tricks of the trade, somewhat even allied at first. Borden is a common Londoner, but Angier is to the manor born, using an alias in his magic work so as to not to embarrass his rich Victorian family. In the pursuit of a more fantastic trick a terrible accident occurs and Angier loses somebody close to him, vowing revenge against Borden, whom he holds responsible.These two are both the Roadrunner and Wiley Coyote to one another. Each one tries to sabotage and learn the other's tricks, make each other look
ridiculous, etc. Angier is the more dangerous of the two because he is truly intent on killing Borden when he infiltrates his ""catch the bullet"" act early on in the film and, instead, maims him. The rivalry ratchets up
to increasingly dangerous proportions. It is ultimately a fine piece of drama as to how far these two are willing to go in their obsession and for their art, with them both ultimately living tragic and miserable lives in the process. So much sacrifice for what most people would consider a trivial pastime. It is madness beyond obsession.This is a very entertaining and thought provoking film, and there is plenty of foreshadowing. Watch closely and watch it twice. I honestly don't think Christopher Nolan would be capable of linear storytelling if his life depended on it, but he is a master of this adapted material. At the end I could only go - ""Brilliant"".Scarlett Johannson plays Angier's lover who has a pivotal role in how the final act plays out. Rebecca Hall is Sarah, Borden's wife, who can't figure out why her husband seems to only love her on some days. David Bowie lends a real air of mystery to his portrayal of Nikola Tesla. But who else but Bowie could believably introduce his character by walking through lightning? Yes, the Tesla-Edison feud gets incorporated into the film and even a sci-fi angle is thrown into the plot. Michael Caine, as Jackman's magician mentor, seems to be playing his Alfred character from The Dark Knight. He has a supporting role, but watch him carefully, he has some of the most important lines of the film. And his final decision - do you think it was correct? Did two wrongs make a right in this unique situation?I wish I could tell you more, but I would give away the plot if I did. This is truly one of the better films made in the 21st century, and I largely don't like films made after 1960. Highly recommended and a real head scratcher, especially given the last line of the film."
District 9,https://www.imdb.com//review/rw2110672/,9,"Everyone's seen the trailer that kick-started one very fishy-looking viral campaign, interviewing several humans and an alien in quick succession. That marks many people's first exposure to Neill Blomkamp's District 9, and the trailer - which had a decently executed ""mockumentary"" feel to it, which only served to make its sci-fi content seem even more surprising. This same element of surprise is still present throughout the film proper, and it is quite a cinematic treat.District 9 takes place in an alternate timeline where, twenty years ago, an alien spaceship came to a halt above the city of Johannesburg. The inhabitants of the ship are unable to operate the ship anymore, so they end up being segregrated to their own slum within the city below. Eventually, the government calls for the eviction of the aliens (nicknamed ""prawns"" due to their appearance) from the slum. The film's ostensible protagonist is Wikus (Sharlto Copley), who through a series of events too complicated to recount in a synopsis, ends up undergoing some rather dramatic changes and before long he's thrust into the middle of something far too big for him to handle...The best thing about District 9 is that it always manages to stay fresh and surprising throughout. As the trailers indicate, it starts off as a mockumentary in order to expose the gist of the story. The film gradually crosses over to being a more conventional film, although still filmed with a very documentarian look and interspersed with occasional news footage or interviews. Despite the unexpected change in presentation, you don't really notice because you're so wrapped up in the ingenious premise. Then you're presented with the plight of Wikus, whose story is one I don't really want to expose too much because watching it all unfold was just amazing to watch. He's a perfect example of the Everyman, trying to survive as best he can in the face of everything that the world throws at him over the course of the film. His development, along with that Chris, the prawn he befriends (who is surprisingly well-rounded for a CGI character) raises this above your average science-fiction film. Even when the film's final third act becomes incredibly action-packed, it still doesn't jar with the mood of the film and doesn't forsake its characters and intelligence for the sake of cheap action sequences.On that subject, the action sequences are far from ""cheap"". Given that Blomkamp and collaborator Peter Jackson were originally aiming to make a film adaptation of Halo before changing to this, there's still plenty of moments that feel quite reminiscent of Bungie's game, from the alien technology to the frantic battles. The effects work looks great in even the simplest of situations, to say nothing of the bombastic finale. There's just something about the way it all comes together, especially when it is combined with one very uncompromising storyline and subject.District 9 is a rare find nowadays. It doesn't sacrifice the intelligence or raw power that its story affords it for the sake of appeasing your ""typical"" blockbuster crowd with a lighter rating and less focus on the story. It's a damned fine thriller that is not without its flaws, but is still several cuts above your average summer film and is well worth watching - but only if you can handle the heat. And it does get quite hot."
Annihilation,https://www.imdb.com//review/rw4104382/,10,"I don't review films, but I felt I had to counter the ""one star"" ratings from people who evidently didn't ""get"" this modern sci-fi masterpiece. I have to say I'm baffled by the extremely low reviews from some people, especially those who claim they went to sleep during the movie (is it fair to give it one star if you didn't see all of it?), or those who claim they are doing it to counter the ""fake"" ten star reviews. I am giving this a ten because this movie single-handedly restored my faith in cinema as capable of giving me an ""experience"" in the theater. This is not a perfect film. That's not why I gave it a ten. I gave it a ten because of its vision and its impact. I'd say it's a cross between Alien, Arrival, Monsters, and 2001. If you don't like films that create an environment and put you in it to experience something, you probably won't like this. It's not a straight linear sci-fi film where you will have all your questions answered. Instead, it will make you think about what life and death is, about what ties us together, and it will give you a few scares along the way, and show you things you have never seen in other films. It will also convey how important the soundtrack can be in a film.It's tragic that other countries didn't get a chance to see this in the theater. For anyone watching this overseas on Netflix, I recommend you watch on the largest television you can find with the best sound system you can get, and crank it. If you have to bribe your friend with the 70"" television and Atmos sound system, do it. It's worth it to experience this film to the fullest. I wish I could see it for the first time again in the theater.If you've read the book, Garland says this was created as a sort of ""dream"" of the book, and it's only roughly based on that work. If you have read the book first, you need to reset your expectations going in.Again, this is not a ""paid"" review, it's not a ""fake"" review. I experienced what I can only describe as a near-religious experience in the theater watching this film, and a repeated view at home brought all those feelings back. It's a tremendous work, and I can't wait to see what Garland does next."
Blade Runner 2049,https://www.imdb.com//review/rw7044819/,3,"The original had the best soundtrack ever. This one? Well, if you like electronic farts... At least, they wake you up every time they go off.Sequels = zzz."
Donnie Darko,https://www.imdb.com//review/rw1308942/,9,"This is an intriguing film with Jake Gyllenhaal playing the title role. Is Donnie Darko slowing going mad, is the weird giant rabbit a friend or an enemy, and is there something sinister going on? The story unravels and you get drawn into the strange world of Donnie Darko and his journey which reached an inevitable, melancholy but strangely satisfying conclusion.I won't say much about the plot, but you might need to have a second look to understand exactly what is happening. Only one thing needed to be said - if you ever want to watch this film, watch the original version, avoid the Director's cut version. The director's cut added unnecessary scenes and pointless graphics which, although perhaps the director thought might think help explain the movie better, is a big mistake. The original version is mysterious and all the better for it, and if you don't understand it completely, it matters not a jot. In fact it is silly to try to make sense of the science as some tried to do because it is hardly the point of the film, and in any case Hollywood simply can't do science well in most of its films. Just enjoy an intriguing journey through the mind of a disturbed (or may be not) teenager."
The Cabin in the Woods,https://www.imdb.com//review/rw2613186/,1,"I am writing this review to help those who fall into the trap of seeing a rating of 7.9 and thinking this film must have some redeeming qualities. Believe me it doesn't. It is ridiculous and abysmal. The scary thing is the sort of individual that enjoys this film is the same individual that states scream is original. Some may find this deeply disturbing but I would be quite happy to live in a world without films such as scream, there i said it. There was only one scene that I found funny and it was when Mr athlete decided to ride his bike into a force field of some sort. I began thinking something worth while was going to happen but this moment never came."
Interstellar,https://www.imdb.com//review/rw3215295/,10,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!"
Unbreakable,https://www.imdb.com//review/rw4250247/,10,"This movie should be released today. In the era of CGI superheroes with no story or character arc, this is a realistic view of superhero genere. Bruce Wills, I never thought I would say this, is awesome. Samuel Jackson is fantastic, I don't know why he chose to be one eye guy in Marvel movies, he is mire capable actor than this. Manoj Shayamalan is a truly great film maker. Robin Wright is very good. Overall a great superhero movie, a must watch."
Primer,https://www.imdb.com//review/rw2104008/,1,"How I wanted to enjoy this movie. This movie ""makes you think""? Maybe if you're a twentysomething, sick of the Hollywood crap out there, but not really educated enough in classic science fiction to recognize when someone is recycling old paradoxes, and not mature enough to require character development from the figures on the screen. For the rest of us, it does not matter how much the filmmaker supposedly ""captures the atmosphere"" of engineers who speak in monotone. As Sontag said, the audience should not be called upon to react as if what is happening in fiction is actually happening in real life. (If I make a boring film in which people really go to the bathroom, is that brilliant as well?) The cinema verite style here does not work and is not appropriate, and despite the barrage of early 10-star reviews - obviously planted by cheerleaders connected with this project - that signals a failure by the filmmaker to engage his audience, which is, yes, his job. Smugness about how people ""don't get it"" is not film criticism - at any rate, we do get it, because the story is paper-thin. Show, don't tell - give us action (and I do not mean superficial action as in ""Independence Day""), not relentless unemotional dialog that appeals to young, largely male, geeks. (All of the important male characters here are married, with kids - what irony!) Film, like any other art, is communication, and while this film has potential, that makes the inept execution of it all the more disappointing. Actually, I would recommend that people see it, with the caveats that I've given above, because it is an example of a good idea; however, in no way does this film deserve such effusive, histronic praise. Oh, and incidentally - electrical current is measured in amperes, not in ""volts."" (Volts measure voltage, duh.) So much for the snobbish techno-wow jargon by these so-called engineers at the beginning!"
They Live,https://www.imdb.com//review/rw5573631/,8,"This is another film I'm giving more stars to than it probably deserves because of a childhood fondness for it. For whatever reason, this film made an impression on me and always stuck in my memory. Despite the limited acting ability of professional wrestler Rowdy Roddy Piper in the lead, the idea of aliens secretly taking over and subliminally lulling the populace into complacency (through TV, media, consumerism, and other distractions), the story remains interesting and relevant today (i.e. more screens, more apps, more distractions). A prescient film if there ever was one. Writer/director John Carpenter made this film in the 1980s Regan Era, but in the age of the 1%, the decline of the middle class, and police shootings, this film surprised me how relevant it is today and even more so than when it came out. Roddy Piper plays an out of work construction worker who discovers an alien race has secretly taken over the government, media, and the business world and have perpetrated a subliminal campaign to keep the masses asleep and in their place. When Piper discover specially designed sunglasses that allow him to see his world plastered with subliminal messages telling the masses to ""SLEEP"" ""OBEY"" ""CONSUME"" ""WATCH TV"" ""DO NOT QUESTION AUTHORITY"" ""MARRY AND REPRODUCE"" or ""THIS IS YOUR GOD"" printed on money. In this film, billboards and television are the main modes of conveying this message, but imagine how much easier it is to placate the masses in the internet age with smart phones, tables and laptops in the hands of most every citizen. Thematically, this film is Carpenter's most overtly political film. In terms of storytelling and tone, Carpenter has always had something of a throwback style and this film, although thematically serious and fairly grim at times, actually reminded me of the corny sci-fi films of the 50s and 60s. However, it works. One the spectrum of corny sci-fi, this is not goofy sci-fi for kids, like ""Invaders from Mars,"" but I would liken it to scrappy politically subversive science fiction films like ""Invasion of the Body Snatchers"" That film took on McCarthyism and Carptener's film is taking on the 1%. There are a number of Carpenter regulars in the film including Keith David, George ""Buck"" Flower, Peter Jason, and Al Leogn in an uncredited bit part. You also get Meg Foster and Sy Richardson so it's a solid cast. Overall, ""They Live"" is smart social commentary, even if it's told with a lot of hokum (and I'm not even going to get into epic fist fight between Piper and Keith David, which alone make the film worth watching)."
The Martian,https://www.imdb.com//review/rw6512384/,9,"This is a great sci-fi movie that's realistic enough to not be weighed down by being unrealistic or ridiculous in that way.The acting and plot are great. The story is engaging, and Matt Damon does a great job in playing a character that everyone is trying to save (he always seems to be playing a character that everyone is trying to save or everyone is trying to kill)
One thing that I do think weighs this movie down, and why it's a 9/10 and not a 10/10, is all the swearing. I can understand some swearing here and there, but it does get to a point in the Martian that the swearing feels gratuitous and can detract a bit to a lot from the viewing experience depending on how much you do or don't mind swearing in movies.
Other than that I'd say the movie is fairly accurate to the book, and it's extremely well done, and is a definite must watch if you like it when movies at least try to put a good effort into being as realistic as possible.9/10 would recommend."
10 Cloverfield Lane,https://www.imdb.com//review/rw6351437/,6,It would have been solid 8 or 9 if it wasn't for the ending. Except that it was quite an intense mystery.
Dredd,https://www.imdb.com//review/rw2670068/,10,"I'm a huge fan of the comic 2000AD and the character Judge Dredd since 1979, and this film completely satisfied me. They changed all the right things and kept all the right things. Director Pete Travis tackled the problem of filming a comic book by making something that looks nothing like a comic book and more like an action movie shot on location, with a simple linear plot that keeps rolling and never slows down.Megacity 1 is made markedly less futuristic than the comic in order to become so believable that it is hard to tell where the real slums of Cape Town end and the CGI kilometre high city blocks start. I have an uncomfortable feeling that in less than a hundred years cities like this may actually exist.The comic Judge's uniform works on paper but can't in real life - giant golden eagles, shoulder pads and bronze name badges hanging off a leather one-piece body suit would sag, wobble and look daft. The movie gives us body armour that looks like it actually gets used whilst keeping the helmet exactly the same. The effect is striking and believable, like everything else in this film.The plot revolves around a drug which makes time seem to slow down a hundred times, the perfect excuse for scenes of ultra slo-mo explosive bloody (and beautiful) anatomically correct violence that earn this film its 18 rating. Not a kid's movie at all. Every supporting actor looks like they came out of a gang documentary, scarred, nasty, sweaty and mean. Lena Headey totally kicks ass as the ruthless gang lord Ma Ma, calmly relishing the deaths of her enemies, eyes sledging from narcotic addiction.In a way this is Olivia Thirlby's movie, since she gets the character arc, rookie judge Cassandra Anderson assigned to Dredd for evaluation and finding herself on a very steep learning curve. She is vulnerable, spikey and tough as called for, vital to the movie in order to balance Dredd.How do you play Dredd? He is the opposite of a character. He has no personal arc, never changes or grows. He has no sense of humour, the comic finds that by placing utterly deadpan 'ol stony- face in ironic situations that reflect off him. And where do you find an actor prepared to wear a helmet obscuring everything but his mouth and chin for the whole 95 minutes? Karl Urban must be a huge fan himself to play the part so right. One reviewer described his performance as ""ego-free"" and it is. I didn't see Urban anywhere in this movie, all I saw was Dredd.Me and Dredd-heads everywhere thank you Karl. You smashed it."
